"Id","CountryCode","PostCode","Suburb","Latitude","Longitude"
3213,"NZ",3210,"ROTOTUNA",-37.73787,175.264
3214,"NZ",3214,"FAIRVIEW DOWNS",-37.7621,175.3089
3215,"NZ",3216,"HAMILTON EAST",-37.80058,175.2997
3216,"NZ",3218,"TEMPLE VIEW",-37.82154,175.2258
3217,"NZ",3225,"RAGLAN",-37.80106,174.87
3218,"NZ",3300,"MORRINSVILLE",-37.65456,175.5258
3219,"NZ",3310,"WAITOA",-37.60446,175.6307
3220,"NZ",3320,"TE AROHA",-37.55038,175.697
3221,"NZ",3330,"TAUPO",-38.67897,176.0936
3222,"NZ",3332,"WAIRAKEI",-38.61953,176.1065
3223,"NZ",3334,"TURANGI",-38.98479,175.8022
3224,"NZ",3400,"MATAMATA",-37.81398,175.7671
3225,"NZ",3401,"TAMIHANA",-37.76391,175.7575
3226,"NZ",3410,"TIRAU",-37.97789,175.7603
3227,"NZ",3411,"PUTARURU",-38.04979,175.7713
3228,"NZ",3415,"ARAPUNI",-38.07062,175.6497
3229,"NZ",3420,"TOKOROA",-38.22266,175.8702
3230,"NZ",3421,"MANGAKINO",-38.37158,175.7732
3231,"NZ",3432,"LEAMINGTON",-37.89743,175.4839
3232,"NZ",3434,"CAMBRIDGE",-37.89519,175.4771
3233,"NZ",3500,"THAMES",-37.15553,175.5624
3234,"NZ",3503,"NGATEA",-37.2735,175.4929
3235,"NZ",3506,"COROMANDEL",-36.75427,175.5044
3236,"NZ",3508,"TAIRUA",-37.00554,175.8415
3237,"NZ",3510,"WHITIANGA",-36.83883,175.6947
3238,"NZ",3600,"PAEROA",-37.37537,175.6818
3239,"NZ",3610,"WAIHI",-37.39711,175.8455
3240,"NZ",3611,"ATHENREE",-37.43567,175.9639
3241,"NZ",3620,"WHANGAMATA",-37.20918,175.8685
3242,"NZ",3700,"HUNTLY",-37.56176,175.1593
3243,"NZ",3710,"TE KAUWHATA",-37.40334,175.1474
3244,"NZ",3720,"NGARUAWAHIA",-37.66413,175.1543
3245,"NZ",3721,"TAUPIRI",-37.61806,175.1874
3246,"NZ",3800,"KIHIKIHI",-38.04152,175.3418
3247,"NZ",3802,"PIRONGIA",-37.99021,175.198
3248,"NZ",3803,"OHAUPO",-37.92082,175.3063
3249,"NZ",3900,"OTOROHANGA",-38.17937,175.2124
3250,"NZ",3910,"TE KUITI",-38.34233,175.1816
3251,"NZ",3912,"PIOPIO",-38.51405,175.0085
3252,"NZ",3920,"TAUMARUNUI",-38.88163,175.2703
3253,"NZ",3924,"MANUNUI",-38.88841,175.3334
3254,"NZ",3926,"OHURA",-38.84403,174.9811
3255,"NZ",4010,"TE HAPARA",-38.65565,178.0034
3256,"NZ",4022,"TE KARAKA",-38.46612,177.8661
3257,"NZ",4032,"RUATORIA",-37.89473,178.3171
3258,"NZ",4102,"CLIVE",-39.58997,176.9372
3259,"NZ",4104,"BAY VIEW",-39.40781,176.8796
3260,"NZ",4108,"WAIROA",-39.03828,177.409
3261,"NZ",4110,"ONEKAWA",-39.51318,176.8878
3262,"NZ",4112,"TARADALE",-39.54358,176.8533
3263,"NZ",4120,"ST LEONARDS",-39.63154,176.8343
3264,"NZ",4122,"PARKVALE",-39.65194,176.8675
3265,"NZ",4130,"HAVELOCK NORTH",-39.69638,176.877
3266,"NZ",4200,"WAIPUKURAU",-39.99168,176.5481
3267,"NZ",4202,"OTANE",-39.89879,176.6277
3268,"NZ",4203,"TAKAPAU",-39.96942,176.3867
3269,"NZ",4210,"WAIPAWA",-39.93755,176.5867
3270,"NZ",4310,"MARFELL",-39.07423,174.0497
3271,"NZ",4312,"BELL BLOCK",-39.0301,174.1467
3272,"NZ",4314,"OAKURA",-39.11756,173.9475
3273,"NZ",4320,"WAITARA",-38.99068,174.2416
3274,"NZ",4322,"ELTHAM",-39.42841,174.3006
3275,"NZ",4330,"INGLEWOOD",-39.15978,174.2045
3276,"NZ",4332,"STRATFORD",-39.34777,174.2808
3277,"NZ",4335,"OKATO",-39.19043,173.8791
3278,"NZ",4410,"FITZHERBERT",-40.39161,175.6456
3279,"NZ",4412,"TAKARO",-40.35016,175.5949
3280,"NZ",4414,"MILSON",-40.32968,175.6101
3281,"NZ",4500,"ST JOHNS HILL",-39.91576,175.0392
3282,"NZ",4501,"GONVILLE",-39.94468,175.0235
3283,"NZ",4510,"WAVERLEY",-39.76081,174.6325
3284,"NZ",4520,"PATEA",-39.75353,174.4687
3285,"NZ",4610,"HAWERA",-39.59812,174.2833
3286,"NZ",4612,"MANAIA",-39.54747,174.1334
3287,"NZ",4614,"NORMANBY",-39.54244,174.2709
3288,"NZ",4616,"OPUNAKE",-39.45238,173.857
3289,"NZ",4625,"OHAKUNE",-39.41509,175.4052
3290,"NZ",4632,"RAETIHI",-39.43615,175.2787
3291,"NZ",4702,"FEILDING",-40.21039,175.5619
3292,"NZ",4710,"MARTON",-40.07711,175.3815
3293,"NZ",4720,"TAIHAPE",-39.68053,175.799
3294,"NZ",4730,"HUNTERVILLE",-39.93546,175.5664
3295,"NZ",4810,"ASHHURST",-40.28923,175.7581
3296,"NZ",4814,"FOXTON",-40.47576,175.2979
3297,"NZ",4815,"FOXTON BEACH",-40.46954,175.2371
3298,"NZ",4816,"OHAKEA",-40.19651,175.3785
3299,"NZ",4817,"SANSON",-40.22144,175.4278
3300,"NZ",4818,"BULLS",-40.17522,175.3792
3301,"NZ",4820,"LINTON MILITARY CAMP",-40.40478,175.5848
3302,"NZ",4821,"SHANNON",-40.55302,175.4097
3303,"NZ",4822,"TANGIMOANA",-40.2923,175.2454
3304,"NZ",4825,"WAIOURU",-39.4781,175.6658
3305,"NZ",4826,"WAIOURU",-39.47219,175.6841
3306,"NZ",4900,"EKETAHUNA",-40.64804,175.7084
3307,"NZ",4910,"PAHIATUA",-40.45117,175.8388
3308,"NZ",4920,"WOODVILLE",-40.33244,175.8557
3309,"NZ",4930,"DANNEVIRKE",-40.19785,176.0917
3310,"NZ",5010,"MAUNGARAKI",-41.20522,174.8758
3311,"NZ",5011,"EPUNI",-41.19938,174.9383
3312,"NZ",5012,"PETONE",-41.22899,174.8862
3313,"NZ",5013,"LOWRY BAY",-41.25575,174.9137
3314,"NZ",5014,"WAINUIOMATA",-41.24834,174.9559
3315,"NZ",5016,"HOROKIWI",-41.20129,174.8455
3316,"NZ",5018,"UPPER HUTT CENTRAL",-41.12445,175.0658
3317,"NZ",5019,"STOKES VALLEY",-41.18034,174.986
3318,"NZ",5022,"PORIRUA",-41.13836,174.8413
3319,"NZ",5024,"WAITANGIRUA",-41.11713,174.88
3320,"NZ",5026,"MANA",-41.09236,174.8705
3321,"NZ",5028,"TAWA",-41.17779,174.8161
3322,"NZ",5032,"PARAPARAUMU BEACH",-40.88345,174.9903
3323,"NZ",5034,"PAEKAKARIKI",-40.99128,174.9476
3324,"NZ",5036,"WAIKANAE BEACH",-40.85334,175.0364
3325,"NZ",5510,"WAITARERE BEACH",-40.55237,175.2032
3326,"NZ",5512,"OTAKI",-40.75523,175.1449
3327,"NZ",5710,"FEATHERSTON",-41.11451,175.3271
3328,"NZ",5711,"MARTINBOROUGH",-41.21659,175.4576
3329,"NZ",5712,"GREYTOWN",-41.08525,175.4496
3330,"NZ",5713,"CLAREVILLE",-41.00705,175.5315
3331,"NZ",5810,"MASTERTON",-40.93381,175.6477
3332,"NZ",6011,"ARO VALLEY",-41.2956,174.7721
3333,"NZ",6012,"KARORI",-41.28009,174.7315
3334,"NZ",6021,"ARO VALLEY",-41.29338,174.7643
3335,"NZ",6022,"MAUPUIA",-41.29744,174.8262
3336,"NZ",6023,"BERHAMPORE",-41.31447,174.7757
3337,"NZ",6035,"NGAIO",-41.25049,174.775
3338,"NZ",6037,"CHURTON PARK",-41.21003,174.8045
3339,"NZ",7005,"RUBY BAY",-41.22186,173.0793
3340,"NZ",7007,"MURCHISON",-41.8009,172.3279
3341,"NZ",7010,"WASHINGTON VALLEY",-41.27673,173.2662
3342,"NZ",7011,"STOKE",-41.31045,173.2241
3343,"NZ",7020,"RICHMOND",-41.33479,173.195
3344,"NZ",7022,"BRIGHTWATER",-41.37724,173.1087
3345,"NZ",7025,"WAKEFIELD",-41.40234,173.0468
3346,"NZ",7100,"HAVELOCK",-41.28574,173.7668
3347,"NZ",7110,"TAKAKA",-40.83382,172.8822
3348,"NZ",7120,"MOTUEKA",-41.10895,173.022
3349,"NZ",7201,"SPRINGLANDS",-41.50478,173.93
3350,"NZ",7202,"GROVETOWN",-41.4905,173.9693
3351,"NZ",7204,"RENWICK",-41.51313,173.8283
3352,"NZ",7206,"WOODBOURNE",-41.51092,173.86
3353,"NZ",7210,"SEDDON",-41.66981,174.0693
3354,"NZ",7220,"WAIKAWA",-41.27666,174.0266
3355,"NZ",7300,"KAIKOURA",-42.40172,173.6805
3356,"NZ",7310,"CHEVIOT",-42.81313,173.2664
3357,"NZ",7332,"WAIAU",-42.65722,173.0415
3358,"NZ",7334,"HANMER SPRINGS",-42.51408,172.832
3359,"NZ",7400,"FERNSIDE",-43.29432,172.5738
3360,"NZ",7402,"WAIKUKU BEACH",-43.28619,172.7055
3361,"NZ",7410,"AMBERLEY",-43.16327,172.7539
3362,"NZ",7420,"WAIKARI",-42.96731,172.6807
3363,"NZ",7430,"OXFORD",-43.23021,172.2495
3364,"NZ",7500,"SHEFFIELD",-43.39716,172.0324
3365,"NZ",7510,"DARFIELD",-43.4911,172.1034
3366,"NZ",7520,"AKAROA",-43.8144,172.9588
3367,"NZ",7600,"BURNHAM",-43.61702,172.3012
3368,"NZ",7602,"SOUTHBRIDGE",-43.80193,172.2355
3369,"NZ",7604,"PREBBLETON",-43.58143,172.5108
3370,"NZ",7608,"LINCOLN",-43.64788,172.4875
3371,"NZ",7610,"WOODEND",-43.3169,172.6634
3372,"NZ",7614,"ROLLESTON",-43.59587,172.3891
3373,"NZ",7630,"PINES BEACH",-43.37432,172.7036
3374,"NZ",7632,"LEESTON",-43.76707,172.2914
3375,"NZ",7700,"HAMPSTEAD",-43.90795,171.7668
3376,"NZ",7710,"RAKAIA",-43.82675,172.102
3377,"NZ",7730,"METHVEN",-43.62962,171.643
3378,"NZ",7802,"COBDEN",-42.43904,171.2133
3379,"NZ",7803,"RAPAHOE",-42.37551,171.246
3380,"NZ",7804,"BLACKBALL",-42.35682,171.3572
3381,"NZ",7805,"KAIATA",-42.47729,171.2722
3382,"NZ",7810,"HOKITIKA",-42.71563,170.9807
3383,"NZ",7811,"KANIERE",-42.7465,171.005
3384,"NZ",7812,"ROSS",-42.89814,170.8197
3385,"NZ",7822,"HECTOR",-41.60322,171.8825
3386,"NZ",7823,"GRANITY",-41.63179,171.8528
3387,"NZ",7825,"WESTPORT",-41.76269,171.6176
3388,"NZ",7830,"REEFTON",-42.12224,171.8573
3389,"NZ",7832,"KUMARA",-42.63063,171.1818
3390,"NZ",7901,"OHAU",-44.26608,170.0984
3391,"NZ",7903,"PLEASANT POINT",-44.25949,171.1324
3392,"NZ",7910,"SEAVIEW",-44.39145,171.2448
3393,"NZ",7912,"KINGSDOWN",-44.48923,171.2103
3394,"NZ",7920,"TEMUKA",-44.24339,171.2901
3395,"NZ",7924,"WAIMATE",-44.72633,171.0305
3396,"NZ",7925,"FAIRLIE",-44.159,170.8526
3397,"NZ",7930,"GERALDINE",-44.09275,171.2368
3398,"NZ",7999,"TEKAPO",-44.00694,170.4825
3399,"NZ",8011,"CHRISTCHURCH CENTRAL",-43.53759,172.6299
3400,"NZ",8013,"MAIREHAU",-43.496,172.6493
3401,"NZ",8014,"ST ALBANS",-43.51407,172.6288
3402,"NZ",8022,"HILLSBOROUGH",-43.56698,172.6583
3403,"NZ",8023,"WALTHAM",-43.55219,172.6566
3404,"NZ",8024,"BARRINGTON",-43.55901,172.6191
3405,"NZ",8025,"HALSWELL",-43.57409,172.556
3406,"NZ",8041,"RICCARTON",-43.53051,172.597
3407,"NZ",8042,"AVONHEAD",-43.5225,172.5443
3408,"NZ",8051,"HAREWOOD",-43.48087,172.5809
3409,"NZ",8052,"STROWAN",-43.50866,172.6072
3410,"NZ",8053,"RUSSLEY",-43.49118,172.5698
3411,"NZ",8061,"BURWOOD",-43.50958,172.6691
3412,"NZ",8062,"PHILLIPSTOWN",-43.53794,172.669
3413,"NZ",8081,"SUMNER",-43.57677,172.7751
3414,"NZ",8082,"CASS BAY",-43.60367,172.6913
3415,"NZ",8083,"PARKLANDS",-43.48323,172.7075
3416,"NZ",9010,"PINE HILL",-45.83975,170.5241
3417,"NZ",9011,"LOOKOUT POINT",-45.89485,170.4706
3418,"NZ",9012,"SAINT CLAIR",-45.91117,170.4796
3419,"NZ",9013,"SHIEL HILL",-45.8919,170.539
3420,"NZ",9014,"PORTOBELLO",-45.85646,170.676
3421,"NZ",9016,"DUNEDIN CENTRAL",-45.87678,170.4917
3422,"NZ",9018,"GREEN ISLAND",-45.90013,170.4242
3423,"NZ",9019,"OUTRAM",-45.85978,170.2318
3424,"NZ",9022,"RAVENSBOURNE",-45.8658,170.5488
3425,"NZ",9023,"PORT CHALMERS",-45.81638,170.6186
3426,"NZ",9024,"MOSGIEL",-45.87333,170.3632
3427,"NZ",9035,"BRIGHTON",-45.94714,170.3277
3428,"NZ",9210,"KAITANGATA",-46.27327,169.8479
3429,"NZ",9220,"MILTON",-46.12051,169.9633
3430,"NZ",9230,"BALCLUTHA",-46.24446,169.7276
3431,"NZ",9231,"STIRLING",-46.25858,169.7863
3432,"NZ",9300,"QUEENSTOWN",-45.03487,168.6677
3433,"NZ",9302,"ARROWTOWN",-44.94551,168.836
3434,"NZ",9305,"WANAKA",-44.68689,169.1463
3435,"NZ",9310,"CROMWELL",-45.04482,169.2068
3436,"NZ",9320,"BRIDGE HILL",-45.29872,169.3352
3437,"NZ",9330,"CLYDE",-45.19408,169.3329
3438,"NZ",9332,"RANFURLY",-45.12677,170.1011
3439,"NZ",9400,"OAMARU CENTRAL",-45.102,170.9574
3440,"NZ",9401,"WESTON",-45.03532,170.9193
3441,"NZ",9410,"HAMPDEN",-45.32431,170.8113
3442,"NZ",9412,"OMARAMA",-44.49222,169.9692
3443,"NZ",9430,"PALMERSTON",-45.48293,170.7161
3444,"NZ",9435,"KUROW",-44.69781,170.3924
3445,"NZ",9500,"ROXBURGH",-45.53928,169.3128
3446,"NZ",9510,"WAIKOUAITI",-45.59024,170.6845
3447,"NZ",9522,"TAPANUI",-45.94584,169.2651
3448,"NZ",9532,"LAWRENCE",-45.91417,169.6836
3449,"NZ",9534,"CLINTON",-46.20134,169.3798
3450,"NZ",9535,"OWAKA",-46.45388,169.6585
3451,"NZ",9600,"TE ANAU",-45.41371,167.7286
3452,"NZ",9610,"OTAUTAU",-46.14215,167.9984
3453,"NZ",9620,"TUATAPERE",-46.13556,167.6863
3454,"NZ",9630,"NIGHTCAPS",-45.97326,168.0331
3455,"NZ",9635,"OHAI",-45.93333,167.9554
3456,"NZ",9710,"GORE",-46.09778,168.9358
3457,"NZ",9712,"MATAURA",-46.19613,168.8591
3458,"NZ",9720,"WINTON",-46.13467,168.3218
3459,"NZ",9730,"LUMSDEN",-45.74187,168.4401
3460,"NZ",9810,"INVERCARGILL CENTRAL",-46.41289,168.3566
3461,"NZ",9812,"KINGSWELL",-46.43766,168.3652
3462,"NZ",9814,"BLUFF",-46.60374,168.3474
3463,"NZ",9816,"WALLACETOWN",-46.33851,168.2833
3464,"NZ",9818,"STEWART ISLAND",-46.89671,168.1121
3465,"NZ",9822,"RIVERTON ROCKS",-46.36824,168.0191
3466,"NZ",9825,"EDENDALE",-46.31211,168.782
3467,"NZ",9831,"WYNDHAM",-46.32754,168.8458
3468,"NZ",9888,"RAES JUNCTION",-45.84681,169.5847
